Subj,Antisaccade,AntisaccadeT,Stroop.control,Stroop.incongruent,Stroop,StroopPerf,StroopPerfT,x.l,x.m,x.n,x.s,SSRTshort,SSRTmed,SSRTlong,ToAvgS,ToAvgM,ToAvgL,SSRTavg,LetMem,LetMemT,LetMemHard,LetMemHardT,KeepTrack,KeepTrackT,SpatialBack,SpatialBackT,NumLet.0,NumLet.1,NumLett,NumLetPerf,ColShape.0,ColShape.1,ColShape,ColShapePerf,CatSwitch.0,CatSwitch.1,CatSwitch,CatSwitchPerf,SD1,SD2,SD3,SD4,FR1,FR2,FR3,FR4
179,0.8444444,1.0055271,1044.2242,1089.4047,-45.1805859,0.9916667,1.4416071,0.6875,0.15625,0.9861111,0.0625,-448.25,-205.21,-307.15,NA,-205.21,-307.15,-256.18,0.5733333,0.6105685,0.8266667,0.9731577,0.6666667,0.7297277,0.8522727,1.0203148,1110.1243,1516.8827,-406.7584,0.9901961,1005.2237,1181.291,-176.06726,1,971.8715,1133.8876,-162.01612,0.9901961,0.5625,0.85,0.8625,0.825,0.675,0.675,0.725,0.65
182,0.8111111,0.9460493,879.5406,624.43,NA,0.6281847,NA,0.9375,1,0.9930556,0.96875,-922.84,-1074.06,-355.81,NA,NA,NA,NA,0.9333333,1.2035883,0.96,1.2870022,0.6944444,0.7676475,NA,NA,828.5,1285.9133,-457.41333,0.5686275,728.9278,1129.7771,-400.84931,0.9411765,432.2367,501.85,-69.61333,0.3921569,0.7375,0.875,0.8375,0.9,0.6625,0.7,0.775,0.691358
197,0.4777778,0.4981233,939.8581,1097.973,-158.1148392,0.8416667,1.0003623,0.875,0.53125,0.9548611,0.03125,-403.72,-221.23,-345.52,NA,-221.23,NA,-221.23,0.68,0.7477626,0.8266667,0.9731577,0.6944444,0.7676475,NA,NA,835.2909,1101.0741,-265.78318,0.8039216,754.7003,1110.0842,-355.38387,0.7058824,928.7422,1118.8153,-190.07316,0.6764706,0.725,0.8,0.6125,0.75,0.5625,0.4375,0.5625,0.5375
194,NA,NA,1114.1384,1137.2818,-23.1433437,0.8083333,0.9413156,0.3125,0.46875,0.3993056,0.40625,-525.43,57.61,301.08,-525.43,57.61,301.08,-55.58,0.6933333,0.7661045,0.7466667,0.8430368,0.6944444,0.7676475,NA,NA,863.1932,1838.4138,-975.22062,0.9117647,865.2206,1261.2948,-396.07428,0.8921569,775.5488,1180.3136,-404.76489,0.7352941,0.675,0.7375,0.8625,0.8375,0.675,0.6125,0.5875,0.55
68,0.6888889,0.7599551,968.2133,983.2726,-15.0592982,0.975,1.346721,0.15625,0.25,0.6666667,0.0625,-513.54,-219.52,26.41,NA,-219.52,26.41,-96.555,0.8666667,1.0484815,0.9066667,1.135314,0.6944444,0.7676475,NA,NA,807.8725,1167.4714,-359.59889,0.9607843,733.6374,1149.1119,-415.47445,0.8627451,777.9787,1064.2396,-286.26095,0.8137255,0.625,0.575,0.725,0.6375,0.7125,0.75,0.675,0.6125
29,0.7,0.7753975,808.1115,794.9928,13.1187307,0.95,1.2532359,0.9375,0.96875,0.9722222,1,-1321.68,-520.23,-225.95,NA,NA,NA,NA,0.7066667,0.7847759,0.7866667,0.9053911,0.6944444,0.7676475,NA,NA,752.0119,1202.0408,-450.02893,0.9607843,669.9802,914.1732,-244.19294,0.9607843,702.7034,862.1164,-159.41299,0.8235294,0.4125,0.475,0.4375,0.4125,0.65,0.4875,0.575,0.5125
162,0.7555556,0.8565018,705.7922,799.7334,-93.9412522,0.8916667,1.1010136,0.53125,0.46875,0.9097222,0.4375,-725.73,-336.48,-208.87,-725.73,-336.48,-208.87,NA,0.84,0.9972832,0.8933333,1.1047087,0.6944444,0.7676475,0.8522727,1.0203148,903.042,1082.1829,-179.14081,0.9803922,803.1476,1023.6274,-220.47979,0.9607843,912.2813,1107.8424,-195.5611,0.8431373,0.775,0.9125,0.8875,0.8875,0.675,0.85,0.825,0.8375
67,0.7666667,0.8736332,1519.9336,1534.2247,-14.2911614,0.8916667,1.1010136,0.40625,0.1875,0.90625,0.1875,-691.17,-347.17,-290.76,-691.17,-347.17,-290.76,-443.0333,0.8533333,1.0223457,0.9066667,1.135314,0.6944444,0.7676475,0.9545455,1.2681311,718.1976,911.4756,-193.27802,0.8529412,670.2218,999.9776,-329.75578,0.9019608,899.2037,1088.5142,-189.31053,0.8823529,0.7875,0.85,0.8375,0.775,0.65,0.725,0.6375,0.6375
116,0.5888889,0.6296834,1467.6339,1514.7426,-47.1087199,0.9583333,1.2811093,0.25,0.21875,0.8090278,0,NA,-463.05,-309.4,NA,-463.05,-309.4,-386.225,0.8533333,1.0223457,0.96,1.2870022,0.6944444,0.7676475,0.7727273,0.8831267,1279.3087,1420.8381,-141.52936,0.9803922,1052.2825,1378.7088,-326.42629,0.9019608,979.5458,1201.0797,-221.53383,0.8921569,0.775,0.8,0.725,0.6875,0.675,0.8125,0.7,0.775
46,0.5555556,0.589031,869.2427,890.5061,-21.263448,0.9833333,1.3879676,0.21875,0.15625,0.96875,0.03125,-483.05,-280.39,-155.51,NA,-280.39,-155.51,-217.95,0.7733333,0.8840821,0.9066667,1.135314,0.6944444,0.7676475,0.8295455,0.9782932,1029.46,1422.7467,-393.28674,1,788.7389,999.2347,-210.49584,0.9705882,1005.41,1312.6094,-307.19944,0.8921569,0.6,0.8375,0.8875,0.85,0.6875,0.6625,0.7,0.7125
53,0.4666667,0.4855181,1051.2323,1072.3904,-21.1580432,0.9916667,1.4416071,0.65625,0.71875,0.6770833,0.65625,-753.28,-122.39,115.72,-753.28,-122.39,115.72,-253.3167,0.7066667,0.7847759,0.7866667,0.9053911,0.6944444,0.7676475,NA,NA,1116.2964,2369.5457,-1253.24926,0.9117647,1390.5097,2236.1857,-845.67593,0.8921569,909.3977,1566.0877,-656.69002,0.9215686,0.8,0.875,0.875,0.875,0.625,0.7,0.675,0.725
108,0.6,0.6435011,985.2737,963.7791,21.4945663,0.9583333,1.2811093,0.5,0.125,0.8298611,0.09375,-646.42,-229.51,-234.94,NA,NA,-234.94,-234.94,0.64,0.6944983,0.8533333,1.0223457,0.6944444,0.7676475,NA,NA,1039.5433,1634.7028,-595.15952,0.9607843,943.95,1280.0554,-336.10536,0.9313725,1341.9897,1553.4721,-211.48233,0.9313725,0.4625,0.675,0.8125,0.8375,0.65,0.5125,0.6625,0.625
20,0.6555556,0.7149181,1129.7428,1132.5335,-2.7906244,0.9916667,1.4416071,0.65625,0.65625,0.9131944,0.84375,-837.35,-349.96,-174.96,-837.35,-349.96,-174.96,-454.09,0.6533333,0.7119791,0.76,0.8633131,0.6944444,0.7676475,0.7840909,0.90123,1071.3691,1836.723,-765.35393,0.9705882,1066.6658,1396.3133,-329.64752,0.9901961,1084.2853,1413.3692,-329.08391,0.9509804,0.5,0.5125,0.5,0.475,0.55,0.6875,0.5875,0.6875
198,0.8444444,1.0055271,1070.4573,1145.5521,-75.0948605,1,1.5707963,0.90625,0.53125,0.9930556,0.03125,-414.58,-217.96,-287.77,NA,-217.96,NA,-217.96,0.7066667,0.7847759,0.7733333,0.8840821,0.6944444,0.7676475,0.8295455,0.9782932,918.108,1279.4473,-361.33927,0.9901961,887.7843,1613.5705,-725.78619,0.9705882,879.1695,1115.0966,-235.92707,0.9607843,0.7625,0.825,0.8875,0.875,0.7125,0.6875,0.675,0.7875
119,NA,NA,1128.6198,1166.1848,-37.5650359,0.975,1.346721,0.59375,0.21875,0.9340278,0.125,-644.82,-190.73,-326.5,NA,-190.73,-326.5,-258.615,0.96,1.2870022,0.9733333,1.3393399,0.7222222,0.8070098,0.9318182,1.1993908,981.3283,1611.7598,-630.43143,0.9901961,843.1613,1478.699,-635.53776,0.9803922,748.9345,NA,NA,0.3921569,0.6,0.8375,0.85,0.85,0.6875,0.7375,0.7,0.6875
90,NA,NA,970.0714,948.0486,22.0227559,0.9833333,1.3879676,0.96875,0.9375,0.9652778,0.96875,-1149.7,-573.22,-514.7,NA,NA,NA,NA,0.3142857,0.3197041,0.7714286,0.8810832,0.7222222,0.8070098,NA,NA,944.3528,1326.3815,-382.02871,0.9803922,909.8845,1156.7222,-246.83769,0.9607843,863.3169,816.0683,47.24854,0.5686275,0.5875,0.5625,0.7,0.7,0.6625,0.625,0.6625,0.6375
189,NA,NA,1039.7,1002.3969,37.3031034,0.8416667,1.0003623,0.875,0.6875,0.8888889,0.375,-563.53,-188.44,-177.2,-563.53,-188.44,NA,NA,0.32,0.3257295,0.64,0.6944983,0.7222222,0.8070098,0.9090909,1.1410967,787.8059,1101.8985,-314.09255,0.6176471,642.8763,903.54,-260.66371,0.9509804,595.258,636.4243,-41.16635,0.6078431,0.4625,0.7625,0.75,0.8,0.475,0.55,0.6,0.5
41,0.9333333,1.2035883,1004.8641,1014.7893,-9.9252442,0.9,1.1197695,0.96875,0.6875,0.8993056,0.15625,-444.26,-75.28,-328.73,-444.26,-75.28,NA,-259.77,0.4266667,0.4408039,0.64,0.6944983,0.7222222,0.8070098,0.7386364,0.8310452,964.1121,1379.0414,-414.92932,0.9117647,1056.9783,1360.9321,-303.95373,0.9313725,859.3477,1442.0705,-582.72283,0.6176471,0.725,0.8,0.675,0.8625,0.65,0.8,0.8375,0.7
154,0.7,0.7753975,1206.0585,1248.8667,NA,0.6281847,NA,1,0.96875,0.9652778,1,-1415.26,-735.12,-760.26,NA,NA,NA,NA,0.6266667,0.6772684,0.8266667,0.9731577,0.7222222,0.8070098,NA,NA,725.4033,1478.69,NA,0.4411765,863.5194,1392.3024,-528.783,0.9019608,1432.2529,1918.1865,-485.93361,0.7647059,0.5625,0.525,0.625,0.5375,0.4625,0.5375,0.5,0.675
88,0.4,0.4115168,1154.3972,1100.09,54.3071739,0.875,1.0654358,0.90625,0.71875,0.9166667,0.3125,-459.05,-255.06,-194.65,-459.05,-255.06,NA,-357.055,0.5866667,0.6269366,0.72,0.8038023,0.7222222,0.8070098,0.8295455,0.9782932,996.5868,1480.5852,-483.99834,0.9411765,988.4847,1373.7648,-385.28003,0.8529412,665.15,938.8407,-273.69074,0.7843137,0.4875,0.725,0.8,0.8375,0.6375,0.725,0.6875,0.6625
25,0.8555556,1.026623,1196.9582,1297.7225,-100.7642208,0.9583333,1.2811093,0.40625,0.28125,0.9270833,0.125,-577.04,-308.78,-172.47,NA,-308.78,-172.47,-240.625,0.5466667,0.5783782,0.6,0.6435011,0.7222222,0.8070098,0.8409091,0.9989609,895.7529,1424.5256,-528.77273,0.9705882,766.9173,1522.2895,-755.37214,0.9411765,773.8188,1288.9664,-515.14754,0.8235294,0.75,0.7375,0.7375,0.75,0.7,0.7,0.7625,0.6
172,0.9111111,1.1459719,1051.8713,1065.97,-14.0986792,0.9666667,1.3118748,0.8125,0.78125,0.7743056,0.8125,-1085.59,-245.44,-127.59,-1085.59,-245.44,-127.59,NA,0.92,1.1680805,0.96,1.2870022,0.7222222,0.8070098,0.8636364,1.0424391,715.8086,1087.5644,-371.75584,0.9803922,895.0495,1053.9347,-158.88518,0.9803922,1724.8327,1871.4059,-146.57321,0.872549,0.7875,0.8875,0.8,0.775,0.625,0.6125,0.7125,0.775
86,0.7777778,0.8911225,1202.6296,1185.9645,16.665029,0.9583333,1.2811093,0.375,0,0.9340278,0,NA,NA,-162.02,NA,NA,-162.02,-162.02,0.68,0.7477626,0.8,0.9272952,0.7222222,0.8070098,0.8863636,1.089431,784.2838,1251.75,-467.46615,0.9019608,831.0255,1098.9724,-267.94687,0.8823529,1026.6957,1288.4521,-261.75639,0.8921569,0.5125,0.4875,0.55,0.775,0.6375,0.6625,0.625,0.7125
158,0.4555556,0.4729962,1027.2994,1041.651,-14.3515939,0.9833333,1.3879676,0.625,0.59375,0.7951389,0.03125,-510.14,-318.08,-175.12,NA,-318.08,-175.12,-246.6,0.68,0.7477626,0.8533333,1.0223457,0.7222222,0.8070098,0.75,0.8480621,960.334,1455.9521,-495.61806,0.9705882,849.9403,1226.9624,-377.02208,0.9509804,1110.796,1480.3257,-369.52971,0.9215686,0.6375,0.65,0.8,0.7125,0.65,0.7625,0.625,0.5875
181,0.7222222,0.8070098,1024.3775,1011.2746,13.1028249,0.975,1.346721,0.25,0.0625,0.9826389,0.125,-819.14,-352.96,-292.71,NA,NA,-292.71,-292.71,0.7066667,0.7847759,0.76,0.8633131,0.7222222,0.8070098,0.8977273,1.1145833,997.0013,1518.4908,-521.48948,0.9607843,911.898,1513.9785,-602.08049,0.9705882,1394.8014,1624.4789,-229.67751,0.9215686,0.85,0.9125,0.9125,0.8625,0.6875,0.7125,0.75,0.7375
19,0.9333333,1.2035883,791.5747,803.6542,-12.0795203,1,1.5707963,0.40625,0.0625,0.9236111,0,NA,-221.64,-226.84,NA,NA,-226.84,-226.84,0.84,0.9972832,0.92,1.1680805,0.7222222,0.8070098,0.8181818,0.9582416,1041.8698,1511.3283,-469.45856,0.9607843,771.3918,992.56,-221.16818,0.9803922,978.038,1038.7646,-60.72657,0.9215686,0.5875,0.8,0.7375,0.7375,0.725,0.7125,0.7,0.7375
148,0.7111111,0.7910773,883.9087,900.9692,-17.0605137,1,1.5707963,0.96875,0.8125,0.9756944,0.125,-395.32,-234.43,-212.47,NA,-234.43,NA,-234.43,0.5733333,0.6105685,0.92,1.1680805,0.7222222,0.8070098,0.7159091,0.7979253,798.4205,1276.6248,-478.20431,0.9607843,525.3147,839.6916,-314.37696,0.9901961,953.0185,1109.9417,-156.92318,0.9313725,0.8,0.9,0.9125,0.9125,0.6375,0.6625,0.7125,0.7375
43,0.4222222,0.4358954,843.8076,835.32,8.4875926,0.9916667,1.4416071,0.8125,0.875,0.84375,0.875,-743.21,-409.21,-141.88,NA,NA,-141.88,-141.88,0.5733333,0.6105685,0.6933333,0.7661045,0.7222222,0.8070098,0.6136364,0.6606578,993.5815,1413.1463,-419.56475,0.9411765,737.4075,1060.58,-323.1725,0.9117647,785.246,1024.0667,-238.82062,0.9509804,0.5625,0.45,0.5625,0.4375,0.725,0.7,0.7875,0.675
138,0.9555556,1.2715385,1236.6579,1136.137,100.5209203,1,1.5707963,0.875,0.21875,0.9965278,0,NA,-231.2,-260.89,NA,-231.2,NA,-231.2,0.7066667,0.7847759,0.8533333,1.0223457,0.7222222,0.8070098,0.9772727,1.3571897,744.2809,999.2177,-254.9368,1,682.21,919.8892,-237.67925,0.9803922,1149.106,1286.4402,-137.33426,1,0.7875,0.7875,0.8375,0.875,0.6625,0.7625,0.775,0.8
177,0.8111111,0.9460493,957.708,975.75,-18.042,0.9583333,1.2811093,0.90625,0.875,0.9826389,0.28125,-590.93,-373.2,-260.94,-590.93,NA,NA,-590.93,0.8266667,0.9731577,0.8533333,1.0223457,0.75,0.8480621,0.8295455,0.9782932,681.5059,932.5965,-251.09059,0.9705882,564.118,890.1784,-326.06037,0.9607843,957.9629,1331.2657,-373.3028,0.754902,0.7375,0.95,0.9,0.9,0.65,0.675,0.625,0.75
159,NA,NA,1100.2102,1137.4528,-37.2426,0.925,1.1810356,0.75,0.5,0.8402778,0.15625,-753.08,-181.36,-163.39,-753.08,-181.36,-163.39,-365.9433,0.7066667,0.7847759,0.8266667,0.9731577,0.75,0.8480621,0.8977273,1.1145833,893.395,1134.5207,-241.12567,0.9313725,956.9209,1195.9038,-238.98299,0.8431373,1129.0413,1367.5385,-238.49713,0.7745098,0.6625,0.85,0.8875,0.8875,0.675,0.7625,0.75,0.6625
99,0.5333333,0.5625362,1103.2807,1198.2762,-94.9955478,0.9166667,1.1596585,0.78125,0.59375,0.7916667,0.8125,-771.49,-115.23,-84.11,-771.49,-115.23,-84.11,-323.61,0.7333333,0.823212,0.8133333,0.9498587,0.75,0.8480621,NA,NA,816.1827,1189.7933,-373.61067,0.7647059,709.8326,971.7763,-261.94364,0.627451,867.549,1142.556,-275.007,0.7941176,0.3875,0.5875,0.5125,0.5125,0.6125,0.7125,0.6,0.6125
184,0.9222222,1.1737889,758.418,764.3568,-5.9388333,0.9583333,1.2811093,0.15625,0.0625,0.96875,0,NA,-349.82,-302.98,NA,NA,-302.98,-302.98,0.88,1.0758622,0.9466667,1.2427284,0.75,0.8480621,0.9659091,1.3089323,692.1322,1022.6443,-330.51211,0.9607843,687.5596,1018.1312,-330.57166,0.9901961,1069.6935,1179.06,-109.36645,0.7941176,0.8625,0.8875,0.9,0.8625,0.675,0.7375,0.7625,0.7625
94,0.5666667,0.6024546,850.1457,814.456,35.6897063,0.9916667,1.4416071,0.96875,0.9375,0.96875,0.34375,-582.93,-383.03,-327.66,-582.93,NA,NA,-582.93,0.8666667,1.0484815,0.9333333,1.2035883,0.75,0.8480621,0.9545455,1.2681311,826.5674,1235.6407,-409.07332,0.9901961,922.4712,1340.434,-417.96286,0.9901961,1368.3857,1663.5139,-295.1282,0.8921569,0.575,0.8,0.8625,0.775,0.5125,0.6125,0.625,0.7375
82,0.8666667,1.0484815,765.8337,769.3078,-3.4740745,0.9666667,1.3118748,0.34375,0.25,0.8784722,0,NA,-260.13,-168.42,NA,-260.13,-168.42,-214.275,0.56,0.5943858,0.6933333,0.7661045,0.75,0.8480621,0.8977273,1.1145833,846.2652,1121.9579,-275.69262,0.9705882,546.5778,825.1397,-278.56191,0.8627451,828.7676,958.4144,-129.64678,0.9215686,0.6875,0.85,0.8625,0.8125,0.7,0.725,0.75,0.675
8,0.8888889,1.0949141,944.353,964.2875,-19.934537,0.9916667,1.4416071,0.5,0.0625,0.9618056,0.0625,-582.66,-217.66,-275.76,NA,NA,-275.76,-275.76,0.7333333,0.823212,0.8933333,1.1047087,0.75,0.8480621,0.8068182,0.9387465,942.7417,1325.551,-382.80925,0.9705882,871.8098,969.8715,-98.06177,0.9509804,1093.6918,1245.7523,-152.06047,0.9215686,0.5125,0.5375,0.475,0.475,0.65,0.6625,0.6875,0.7125
107,0.8444444,1.0055271,760.3678,755.9978,4.370025,0.9666667,1.3118748,0.53125,0.125,0.9618056,0.03125,-499.85,-284.17,-328.28,NA,NA,-328.28,-328.28,0.64,0.6944983,0.8666667,1.0484815,0.75,0.8480621,0.9090909,1.1410967,676.5659,1007.8635,-331.29753,0.8431373,484.275,757.0924,-272.8174,0.8235294,765.0979,880.3553,-115.25737,0.9411765,0.7125,0.825,0.8,0.85,0.575,0.7625,0.8,0.9125
93,0.8444444,1.0055271,771.1359,907.2873,-136.1514774,0.9166667,1.1596585,0.75,0.3125,0.9583333,0.03125,-444.3,-172.96,-201.36,NA,-172.96,-201.36,-187.16,0.76,0.8633131,0.8266667,0.9731577,0.75,0.8480621,0.9659091,1.3089323,799.9433,1098.3741,-298.43077,0.9705882,792.1102,855.0123,-62.90207,0.9607843,826.5347,1062.5103,-235.97562,0.9411765,0.4375,0.6875,0.7375,0.675,0.675,0.7125,0.7625,0.7625
187,0.8444444,1.0055271,628.2526,633.2076,-4.9549447,0.95,1.2532359,0.71875,0.0625,1,0,NA,-174.77,-197.31,NA,NA,-197.31,-197.31,0.6666667,0.7297277,0.9066667,1.135314,0.75,NA,0.8068182,0.9387465,670.0112,944.596,-274.58479,0.9607843,634.4421,814.16,-179.71786,0.9411765,602.652,713.4487,-110.79671,0.9509804,0.7625,0.9125,0.8875,0.9125,0.625,0.725,0.7625,0.7125
26,0.9444444,1.2359002,965.4863,937.498,27.9883043,0.9916667,1.4416071,0.40625,0.125,1,0,NA,-279.91,-234.85,NA,NA,-234.85,-234.85,0.6533333,0.7119791,0.7466667,0.8430368,0.75,0.8480621,0.6136364,0.6606578,747.5936,1137.2329,-389.63937,0.9313725,562.7277,962.417,-399.68924,0.9509804,687.0556,986.1813,-299.12573,0.9509804,0.6,0.8625,0.8625,0.85,0.5625,0.725,0.6625,0.7125
54,0.7777778,0.8911225,825.8836,809.6808,16.2028008,0.9,1.1197695,0.78125,0.15625,0.9965278,0.03125,-476.01,-249.49,-242.42,NA,-249.49,-242.42,-245.955,0.5333333,0.5625362,0.6933333,0.7661045,0.75,0.8480621,NA,NA,723.7249,1098.9147,-375.18987,0.9313725,649.4402,992.055,-342.61477,0.9607843,884.6021,1044.6824,-160.08027,0.9509804,0.5875,0.7625,0.8375,0.85,0.725,0.6375,0.7,0.55
176,0.5555556,0.589031,1023.9311,1131.9228,-107.991713,0.9333333,1.2035883,0.78125,0.65625,0.9548611,0,NA,-226.71,-144.03,NA,-226.71,-144.03,-185.37,0.9066667,1.135314,0.9866667,1.407315,0.75,0.8480621,0.625,0.6751315,1190.792,1819.4911,-628.69905,0.9901961,1102.2841,1254.4029,-152.1188,0.9901961,941.8942,1167.9044,-226.01015,0.9509804,0.5625,0.7875,0.8125,0.825,0.625,0.75,0.825,0.725
77,0.8666667,1.0484815,968.9513,950.1278,18.8235495,0.9916667,1.4416071,0.3125,0.09375,0.9513889,0.0625,-805.74,-358.89,-311.74,NA,NA,-311.74,-311.74,0.6666667,0.7297277,0.8266667,0.9731577,0.75,0.8480621,0.9318182,1.1993908,839.0221,1066.4156,-227.39356,1,606.1298,824.4609,-218.33114,0.9901961,963.8341,1213.9752,-250.14118,0.9509804,0.6875,0.925,0.9,0.825,0.7625,0.7125,0.7,0.7625
59,0.7,0.7753975,882.5004,933.0702,-50.5698083,0.9583333,1.2811093,1,0.96875,0.9722222,1,-1214.67,-502.42,-728.67,NA,NA,NA,NA,0.5466667,0.5783782,0.7733333,0.8840821,0.75,0.8480621,0.875,1.0654358,1246.884,1829.1337,-582.24967,0.9607843,1071.6336,1564.5798,-492.94622,1,1022.966,1339.3539,-316.3879,0.9509804,0.5,0.825,0.8,0.875,0.6,0.7125,0.6625,0.7125
196,0.5666667,0.6024546,840.8958,851.1729,-10.2770664,0.9833333,1.3879676,0.5625,0.09375,0.9826389,0.0625,-547.47,-181.26,-258.67,NA,NA,-258.67,-258.67,0.8133333,0.9498587,0.92,1.1680805,0.75,0.8480621,0.7613636,0.8654138,1075.7167,1501.652,-425.93533,1,915.5926,1153.9909,-238.39832,0.9411765,1044.0519,1273.6208,-229.56891,0.9607843,0.6125,0.65,0.6125,0.55,0.6125,0.6,0.7375,0.7125
115,0.9222222,1.1737889,902.3597,910.684,-8.3242187,0.9416667,1.2275487,0.5,0.0625,0.9444444,0.0625,-491.64,-197.64,-177.68,NA,NA,-177.68,-177.68,0.6933333,0.7661045,0.7466667,0.8430368,0.75,0.8480621,0.9431818,1.2320795,926.9669,1498.2417,-571.27482,0.9901961,746.1052,927.7445,-181.63924,0.9607843,898.0784,1088.806,-190.72759,0.9607843,0.4625,0.5875,0.875,0.8375,0.6,0.675,0.675,0.6875
153,0.9,1.1197695,902.6102,933.3684,-30.7581968,0.9666667,1.3118748,0.84375,0.5,0.9444444,0.25,-475.95,-221.16,-232.96,-475.95,-221.16,-232.96,-310.0233,0.5733333,0.6105685,0.72,0.8038023,0.75,0.8480621,NA,NA,673.6863,774.895,-101.20872,0.9607843,567.3917,771.548,-204.15633,0.9411765,904.7823,962.7997,-58.01747,0.9705882,0.8375,0.9,0.925,0.9375,0.625,0.6625,0.8,0.8375
201,0.8222222,0.9653044,1094.6026,1135.5602,-40.9575371,0.9833333,1.3879676,0.25,0.125,0.9236111,0,NA,-253.75,-143.53,NA,NA,-143.53,-143.53,0.6266667,0.6772684,0.7866667,0.9053911,0.75,0.8480621,0.8863636,1.089431,804.006,1003.5772,-199.57127,0.9705882,971.9426,1177.0124,-205.06981,0.9705882,812.8327,1046.55,-233.71732,0.9705882,0.7125,0.75,0.85,0.8375,0.7,0.8,0.7625,0.85
130,0.7222222,0.8070098,1253.7845,1211.5648,42.2196726,0.9916667,1.4416071,0.21875,0.0625,0.9826389,0.1875,-660.3,-220.05,-151.38,-660.3,NA,-151.38,-405.84,0.6133333,0.6602741,0.6933333,0.7661045,0.7777778,0.8911225,0.7613636,0.8654138,848.0644,1373.9127,-525.84833,0.9705882,726.4967,1010.6317,-284.135,0.9411765,935.4377,1275.4794,-340.04173,0.8529412,0.825,0.85,0.7875,0.825,0.6375,0.625,0.65,0.5875
40,0.6888889,0.7599551,876.896,933.9563,-57.0603265,0.9083333,1.1392818,0.5625,0.65625,0.8333333,0.125,-490.84,-301.56,-48.81,NA,-301.56,-48.81,-175.185,0.7733333,0.8840821,0.7733333,0.8840821,0.7777778,0.8911225,NA,NA,1237.2746,1739.8006,-502.52603,0.9019608,887.4269,1088.2097,-200.78275,0.9509804,1095.6138,1415.8706,-320.25678,0.8529412,0.4625,0.55,0.5875,0.525,0.725,0.6875,0.675,0.6375
120,0.7666667,0.8736332,919.5002,981.7748,-62.2746054,0.9583333,1.2811093,0.59375,0.34375,0.9375,0,NA,-257.38,-221.53,NA,-257.38,-221.53,-239.455,0.8,0.9272952,0.8266667,0.9731577,0.7777778,0.8911225,NA,NA,645.3447,1094.2908,-448.94612,0.9705882,574.9346,1051.3268,-476.39214,0.8921569,1107.0062,1495.3833,-388.37713,0.8627451,0.675,0.5875,0.65,0.6625,0.625,0.725,0.7625,0.775
122,0.5888889,0.6296834,909.9444,929.3757,-19.4312963,0.975,1.346721,0.90625,0.46875,0.8090278,0.3125,-675.36,-282.09,-506.66,-675.36,-282.09,NA,-478.725,0.68,0.7477626,0.8133333,0.9498587,0.7777778,0.8911225,0.7727273,0.8831267,1632.6351,2442.4235,-809.78839,0.9313725,1205.945,2188.8632,-982.91825,0.9313725,1080.395,1789.0503,-708.65534,0.872549,0.7625,0.825,0.825,0.9125,0.5875,0.575,0.55,0.5875
111,0.7777778,0.8911225,924.6437,918.5792,6.0645021,1,1.5707963,0.34375,0.21875,0.9826389,0.03125,-483.3,-318.93,-211.06,NA,-318.93,-211.06,-264.995,0.7333333,0.823212,0.84,0.9972832,0.7777778,0.8911225,0.8181818,0.9582416,893.2558,1347.5243,-454.26857,0.9509804,604.5518,948.8518,-344.29991,0.9411765,826.9252,1011.0434,-184.11828,0.8921569,0.4875,0.6625,0.6625,0.675,0.5625,0.6,0.675,0.625
123,0.6222222,0.6715782,1077.8521,1127.8119,-49.9597764,0.9833333,1.3879676,0.96875,0.6875,0.9826389,0.1875,-468.84,-324.48,-441.44,-468.84,-324.48,NA,-396.66,0.8,0.9272952,0.9066667,1.135314,0.7777778,0.8911225,0.875,1.0654358,803.5578,1717.2533,-913.69553,0.9705882,864.3982,1212.9278,-348.52967,0.8823529,975.8222,1141.7493,-165.92715,0.9117647,0.65,0.675,0.625,0.625,0.7375,0.5375,0.7,0.7
151,0.7444444,0.8397024,694.2229,778.9834,-84.7604517,0.9416667,1.2275487,0.9375,0.65625,0.9444444,0.34375,-489.91,-235.13,-270.51,-489.91,-235.13,NA,-362.52,0.8533333,1.0223457,0.92,1.1680805,0.7777778,0.8911225,0.9204545,1.1692419,875.346,1232.4603,-357.11433,0.9509804,760.34,1265.0717,-504.73171,0.9313725,683.4825,883.8252,-200.34266,0.9117647,0.7625,0.85,0.8125,0.875,0.6375,0.65,0.6625,0.6
126,0.7666667,0.8736332,1062.4648,1151.1979,-88.7331019,0.975,1.346721,0.875,0.59375,0.9652778,0.125,-488.12,-177.41,-280.41,NA,-177.41,NA,-177.41,0.5466667,0.5783782,0.6666667,0.7297277,0.7777778,0.8911225,0.8522727,1.0203148,794.1645,1146.3646,-352.20009,0.9411765,911.9745,1114.2981,-202.32353,0.9803922,948.3517,1222.1987,-273.847,0.9117647,0.6375,0.8125,0.8375,0.75,0.6,0.65,0.55,0.7125
70,0.8777778,1.0712037,876.71,869.9026,6.8074074,0.9916667,1.4416071,0.75,0.375,0.9965278,0.0625,-443.04,-226.5,-191.07,NA,-226.5,-191.07,-208.785,0.7733333,0.8840821,0.8933333,1.1047087,0.7777778,0.8911225,NA,NA,1049.5709,1746.374,-696.80316,0.9803922,905.1017,1158.2629,-253.16116,0.9901961,1076.4127,1461.3991,-384.98637,0.9117647,0.8,0.8875,0.7125,0.85,0.6125,0.725,0.6,0.7
