Subj,Antisaccade,AntisaccadeT,Stroop.control,Stroop.incongruent,Stroop,StroopPerf,StroopPerfT,x.l,x.m,x.n,x.s,SSRTshort,SSRTmed,SSRTlong,ToAvgS,ToAvgM,ToAvgL,SSRTavg,LetMem,LetMemT,LetMemHard,LetMemHardT,KeepTrack,KeepTrackT,SpatialBack,SpatialBackT,NumLet.0,NumLet.1,NumLett,NumLetPerf,ColShape.0,ColShape.1,ColShape,ColShapePerf,CatSwitch.0,CatSwitch.1,CatSwitch,CatSwitchPerf,SD1,SD2,SD3,SD4,FR1,FR2,FR3,FR4
147,0.7,0.7753975,992.1792,1036.0375,-43.8582238,0.9833333,1.3879676,0.6875,0.3125,0.9965278,0.09375,-484.1,-252.53,-239.03,NA,-252.53,-239.03,-245.78,0.7466667,0.8430368,0.8666667,1.0484815,0.9166667,1.1596585,NA,NA,1150.6891,1560.7202,-410.03112,0.9901961,882.7864,1275.7732,-392.98681,0.9607843,821.8372,933.7406,-111.90338,0.9803922,0.575,0.75,0.825,0.8625,0.6375,0.7,0.75,0.7
5,0.8777778,1.0712037,1044.3567,1071.0004,-26.6436905,0.9416667,1.2275487,0.8125,0.84375,0.8680556,0.90625,-1116.66,-429.21,-216.82,NA,-429.21,-216.82,-323.015,0.7866667,0.9053911,0.84,0.9972832,0.9166667,1.1596585,0.625,0.6751315,903.6454,1147.6114,-243.96595,0.9901961,809.4648,1102.79,-293.32523,0.9803922,949.9236,1213.3636,-263.44002,0.9803922,0.775,0.9,0.875,0.9125,0.5875,0.6,0.7375,0.7375
60,0.9333333,1.2035883,1041.5161,1080.4105,-38.8944054,0.9833333,1.3879676,0.15625,0,0.9861111,0.03125,-544.72,NA,-246.62,NA,NA,-246.62,-246.62,0.7066667,0.7847759,0.88,1.0758622,0.9166667,1.1596585,0.9545455,1.2681311,751.1659,856.1972,-105.03135,0.9901961,706.7451,811.6403,-104.89517,1,876.957,1049.0416,-172.08451,0.9803922,0.825,0.85,0.9125,0.925,0.7875,0.725,0.8,0.7875
96,0.8333333,0.9851108,881.1843,906.7948,-25.610494,0.9916667,1.4416071,0.46875,0.0625,0.9583333,0.03125,-393.17,-204.88,-183.87,NA,NA,-183.87,-183.87,0.9333333,1.2035883,0.9466667,1.2427284,0.9166667,1.1596585,0.9431818,1.2320795,770.3879,1721.97,-951.58213,0.9803922,728.0739,1143.1953,-415.12141,0.9509804,845.1389,1304.6952,-459.55628,0.9901961,0.75,0.875,0.8625,0.9,0.5875,0.725,0.7,0.725
183,0.9111111,1.1459719,637.1518,690.3439,-53.1920596,0.9666667,1.3118748,0.9375,0.375,0.9861111,0,NA,-180.25,-206.11,NA,-180.25,NA,-180.25,0.92,1.1680805,0.9866667,1.407315,0.9166667,1.1596585,0.9886364,1.4198975,579.966,861.2615,-281.29554,0.9901961,510.7191,723.9074,-213.18823,0.9901961,593.7348,717.6971,-123.96236,1,0.6125,0.875,0.9,0.8625,0.7125,0.5125,0.675,0.625
64,NA,NA,714.8447,708.0898,6.7549134,0.9166667,1.1596585,0.625,0.28125,0.8506944,0.125,-531.28,-215.33,-231.15,NA,-215.33,-231.15,-223.24,0.88,1.0758622,0.9333333,1.2035883,0.9444444,1.2359002,0.8295455,0.9782932,620.737,809.5984,-188.86139,0.9117647,628.0732,926.0433,-297.97018,0.9215686,978.2824,1283.7971,-305.51468,0.8431373,0.775,0.9,0.8625,0.9,0.7125,0.775,0.85,0.925
155,0.7555556,0.8565018,804.4831,822.7526,-18.2694612,0.95,1.2532359,0.90625,0.625,0.9791667,0.09375,-407.33,-221.27,-319.78,NA,-221.27,NA,-221.27,0.6666667,0.7297277,0.84,0.9972832,0.9444444,1.2359002,0.7954545,0.9197573,883.8654,1248.1835,-364.31813,0.9411765,710.5556,858.1631,-147.60753,0.9509804,778.3444,816.9123,-38.5679,0.9313725,0.475,0.85,0.85,0.825,0.7125,0.725,0.6625,0.675
178,0.7888889,0.9089988,830.5155,818.797,11.7184175,0.9416667,1.2275487,0.8125,0.71875,0.9548611,0.21875,-492.49,-325.09,-207.61,-492.49,-325.09,-207.61,-341.73,0.6933333,0.7661045,0.8666667,1.0484815,0.9444444,1.2359002,0.9318182,1.1993908,819.9284,1338.074,-518.14556,0.9803922,713.457,1003.1608,-289.70379,0.9705882,741.0924,1020.2687,-279.17631,0.9313725,0.55,0.925,0.95,0.925,0.775,0.6625,0.675,0.7875
50,0.9555556,1.2715385,882.8402,944.7191,-61.8788679,0.975,1.346721,0.3125,0.0625,0.9791667,0,NA,-225.05,-174.44,NA,NA,-174.44,-174.44,0.8533333,1.0223457,0.9333333,1.2035883,0.9444444,1.2359002,NA,NA,798.3609,1051.8111,-253.45019,0.9803922,603.0052,898.911,-295.90573,0.9705882,816.6338,921.4615,-104.82773,0.9313725,0.75,0.8875,0.8375,0.875,0.5125,0.5875,0.7125,0.6625
180,0.8333333,0.9851108,884.3704,913.5198,-29.1494368,0.9833333,1.3879676,0.8125,0.34375,0.96875,0,NA,-186.64,-214.12,NA,-186.64,-214.12,-200.38,0.84,0.9972832,0.9333333,1.2035883,0.9444444,1.2359002,0.9545455,1.2681311,933.5995,1234.8588,-301.25929,1,731.2858,1066.246,-334.96019,0.9705882,778.027,900.4731,-122.44617,0.9509804,0.8,0.7625,0.7875,0.775,0.6625,0.7375,0.7375,0.8125
